,match_id,balls,score,wickets,ground,ground_average,wickets_remaining,powerplay_balls,non_powerplay_balls
606,689,215,158,3,Trent Bridge,246,7,0,85
607,690,215,200,2,Harare Sports Club,214,8,0,85
608,691,215,197,2,"Brisbane Cricket Ground, Woolloongabba",218,8,0,85
609,692,215,215,2,Sydney Cricket Ground,220,8,0,85
610,694,215,171,7,"Mission Road Ground, Mong Kok",250,3,0,85
611,695,215,138,6,Rangiri Dambulla International Stadium,201,4,0,85
612,696,215,181,5,St George's Park,215,5,0,85
613,697,215,177,4,Newlands,243,6,0,85
614,698,215,133,7,Feroz Shah Kotla,250,3,0,85
615,701,215,147,6,Sharjah Cricket Stadium,250,4,0,85
616,702,215,141,4,Queens Sports Club,220,6,0,85
617,703,215,172,3,"Brisbane Cricket Ground, Woolloongabba",218,7,0,85
618,705,215,139,4,Shere Bangla National Stadium,214,6,0,85
619,707,215,123,5,Zahur Ahmed Chowdhury Stadium,183,5,0,85
620,708,215,212,1,Manuka Oval,285,9,0,85
621,709,215,169,4,Queens Sports Club,220,6,0,85
622,710,215,154,4,Willowmoore Park,219,6,0,85
623,711,215,133,9,Eden Park,219,1,0,85
624,712,215,203,3,New Wanderers Stadium,238,7,0,85
625,714,215,205,3,"Warner Park, Basseterre",247,7,0,85
626,715,215,275,1,Holkar Cricket Stadium,280,9,0,85
627,716,215,173,5,The Rose Bowl,250,5,0,85
628,717,215,188,2,Shere Bangla National Stadium,214,8,0,85
629,719,215,171,5,University Oval,250,5,0,85
630,719,215,172,5,University Oval,250,5,0,85
631,720,215,136,9,Reliance Stadium,231,1,0,85
632,721,215,161,3,Jade Stadium,250,7,0,85
633,722,215,167,4,Westpac Stadium,208,6,0,85
634,723,215,310,2,Madhavrao Scindia Cricket Ground,325,8,0,85
635,726,215,203,3,National Stadium,214,7,0,85
636,727,215,244,1,"The Village, Malahide",250,9,0,85
637,728,215,183,7,National Stadium,214,3,0,85
638,729,215,216,2,Dubai International Cricket Stadium,221,8,0,85
639,729,215,217,2,Dubai International Cricket Stadium,221,8,0,85
640,730,215,201,1,R Premadasa Stadium,214,9,0,85
641,731,215,121,6,"Kensington Oval, Bridgetown",187,4,0,85
642,732,215,172,3,Shere Bangla National Stadium,214,7,0,85
643,733,215,244,3,National Stadium,214,7,0,85
644,734,215,133,7,Sophia Gardens,192,3,0,85
645,735,215,172,5,Keenan Stadium,250,5,0,85
646,736,215,191,3,"MA Chidambaram Stadium, Chepauk",225,7,0,85
647,737,215,158,7,Dubai International Cricket Stadium,221,3,0,85
648,738,215,154,3,Sawai Mansingh Stadium,235,7,0,85
649,738,215,155,3,Sawai Mansingh Stadium,235,7,0,85
650,739,215,143,7,University Oval,250,3,0,85
651,740,215,211,3,Seddon Park,235,7,0,85
652,742,215,247,3,"Queen's Park Oval, Port of Spain",199,7,0,85
653,743,215,151,4,Queens Sports Club,220,6,0,85
654,744,215,143,5,Providence Stadium,211,5,0,85
655,745,215,161,4,Adelaide Oval,230,6,0,85
656,745,215,162,4,Adelaide Oval,230,6,0,85
657,746,215,162,2,"Queen's Park Oval, Port of Spain",199,8,0,85
658,747,215,144,4,Dubai International Cricket Stadium,221,6,0,85
659,752,215,175,5,Rangiri Dambulla International Stadium,201,5,0,85
660,753,215,167,3,Sharjah Cricket Stadium,250,7,0,85
661,754,215,191,4,R Premadasa Stadium,214,6,0,85
662,755,215,115,6,Feroz Shah Kotla,250,4,0,85
663,756,215,204,3,Melbourne Cricket Ground,240,7,0,85
664,757,215,160,3,Rangiri Dambulla International Stadium,201,7,0,85
665,758,215,146,4,Sheikh Zayed Stadium,231,6,0,85
666,759,215,180,4,Barabati Stadium,259,6,0,85
667,760,215,146,4,Kennington Oval,246,6,0,85
668,761,215,153,4,"Queen's Park Oval, Port of Spain",199,6,0,85
669,762,215,183,3,"Brisbane Cricket Ground, Woolloongabba",218,7,0,85
670,763,215,162,7,Sheikh Zayed Stadium,231,3,0,85
671,764,215,144,9,Harare Sports Club,214,1,0,85
672,765,215,124,7,Bellerive Oval,245,3,0,85
673,766,215,175,5,R Premadasa Stadium,214,5,0,85
674,767,215,147,5,Shaheed Chandu Stadium,212,5,0,85
675,768,215,139,8,Sawai Mansingh Stadium,235,2,0,85
676,769,215,193,4,St George's Park,215,6,0,85
677,770,215,173,4,Eden Park,219,6,0,85
678,771,215,137,3,Sawai Mansingh Stadium,235,7,0,85
679,772,215,199,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",250,9,0,85
680,773,215,160,4,Gaddafi Stadium,248,6,0,85
681,774,215,144,5,R Premadasa Stadium,214,5,0,85
682,775,215,186,4,Maharani Usharaje Trust Cricket Ground,250,6,0,85
683,776,215,96,7,Nehru Stadium,231,3,0,85
684,777,215,126,6,R Premadasa Stadium,214,4,0,85
685,778,215,177,5,Senwes Park,246,5,0,85
686,779,215,90,4,Harare Sports Club,214,6,0,85
687,780,215,147,5,"Warner Park, Basseterre",247,5,0,85
688,781,215,187,2,"Warner Park, Basseterre",247,8,0,85
689,784,215,139,5,"Warner Park, Basseterre",247,5,0,85
690,786,215,168,2,Harare Sports Club,214,8,0,85
691,786,215,169,2,Harare Sports Club,214,8,0,85
692,787,215,173,4,Eden Park,219,6,0,85
693,788,215,200,2,Kinrara Academy Oval,204,8,0,85
694,789,215,117,8,Shere Bangla National Stadium,214,2,0,85
695,790,215,127,5,Willowmoore Park,219,5,0,85
696,790,215,128,5,Willowmoore Park,219,5,0,85
697,791,215,145,4,"Brisbane Cricket Ground, Woolloongabba",218,6,0,85
698,792,215,203,4,M Chinnaswamy Stadium,268,6,0,85
699,793,215,111,6,Gymkhana Club Ground,193,4,0,85
700,794,215,186,2,Sharjah Cricket Stadium,250,8,0,85
701,795,215,159,6,Sydney Cricket Ground,220,4,0,85
702,796,215,165,4,St George's Park,215,6,0,85
703,797,215,176,4,"Sir Vivian Richards Stadium, North Sound",225,6,0,85
704,798,215,150,3,Headingley,283,7,0,85
705,799,215,152,7,"The Village, Malahide",250,3,0,85
706,800,215,133,2,"Arnos Vale Ground, Kingstown",180,8,0,85
707,801,215,198,1,Westpac Stadium,208,9,0,85
708,802,215,165,2,Shere Bangla National Stadium,214,8,0,85
709,803,215,149,9,Shere Bangla National Stadium,214,1,0,85
710,804,215,158,4,"Windsor Park, Roseau",247,6,0,85
711,805,215,197,3,National Stadium,214,7,0,85
712,806,215,143,3,Bellerive Oval,245,7,0,85
713,807,215,129,4,Western Australia Cricket Association Ground,227,6,0,85
714,808,215,203,3,Hagley Oval,250,7,0,85
715,809,215,194,2,Headingley,283,8,0,85
716,810,215,227,3,Shere Bangla National Stadium,214,7,0,85
717,812,215,132,6,Trent Bridge,246,4,0,85
718,814,215,149,5,"Windsor Park, Roseau",247,5,0,85
719,815,215,137,5,"Brisbane Cricket Ground, Woolloongabba",218,5,0,85
720,816,215,126,7,Harare Sports Club,214,3,0,85
721,817,215,103,2,"Antigua Recreation Ground, St John's",227,8,0,85
722,819,215,169,8,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,256,2,0,85
723,820,215,196,1,Kingsmead,243,9,0,85
724,822,215,194,4,Kingsmead,243,6,0,85
725,823,215,124,5,Multan Cricket Stadium,226,5,0,85
726,824,215,146,4,Providence Stadium,211,6,0,85
727,827,215,148,5,Kennington Oval,246,5,0,85
728,829,215,168,2,Queens Sports Club,220,8,0,85
729,830,215,165,2,Sheikh Zayed Stadium,231,8,0,85
730,831,215,148,4,Kennington Oval,246,6,0,85
731,831,215,150,4,Kennington Oval,246,6,0,85
732,832,215,158,3,Adelaide Oval,230,7,0,85
733,833,215,214,2,"Queen's Park Oval, Port of Spain",199,8,0,85
734,835,215,142,7,Bellerive Oval,245,3,0,85
735,836,215,180,2,Edgbaston,203,8,0,85
736,839,215,194,2,Westpac Stadium,208,8,0,85
737,841,215,171,5,"Kensington Oval, Bridgetown",187,5,0,85
738,842,215,177,2,Kennington Oval,246,8,0,85
739,844,215,179,3,Rangiri Dambulla International Stadium,201,7,0,85
740,844,215,180,3,Rangiri Dambulla International Stadium,201,7,0,85
741,845,215,242,1,SuperSport Park,231,9,0,85
742,846,215,158,4,Harare Sports Club,214,6,0,85
743,847,215,150,3,AMI Stadium,228,7,0,85
744,849,215,127,5,R Premadasa Stadium,214,5,0,85
745,850,215,204,4,Sheikh Zayed Stadium,231,6,0,85
746,851,215,156,4,Manuka Oval,285,6,0,85
747,852,215,182,2,Sheikh Zayed Stadium,231,8,0,85
748,853,215,161,2,Zohur Ahmed Chowdhury Stadium,250,8,0,85
749,854,215,193,2,Edgbaston,203,8,0,85
750,857,215,126,3,"Queen's Park Oval, Port of Spain",199,7,0,85
751,858,215,170,2,Kennington Oval,246,8,0,85
752,859,215,187,2,"Sardar Patel Stadium, Motera",224,8,0,85
753,860,215,239,3,Kennington Oval,246,7,0,85
754,860,215,240,3,Kennington Oval,246,7,0,85
755,861,215,236,2,Madhavrao Scindia Cricket Ground,325,8,0,85
756,862,215,129,4,Lord's,233,6,0,85
757,863,215,152,5,Kinrara Academy Oval,204,5,0,85
758,864,215,146,5,"Beausejour Stadium, Gros Islet",208,5,0,85
759,866,215,162,4,Clontarf Cricket Club Ground,250,6,0,85
760,869,215,123,7,Queens Sports Club,220,3,0,85
761,870,215,154,5,Saxton Oval,250,5,0,85
762,871,215,146,4,Brabourne Stadium,150,6,0,85
763,873,215,192,7,"Punjab Cricket Association Stadium, Mohali",256,3,0,85
764,874,215,139,3,Pallekele International Cricket Stadium,250,7,0,85
765,875,215,131,4,"National Cricket Stadium, St George's",216,6,0,85
766,876,215,162,6,Rangiri Dambulla International Stadium,201,4,0,85
767,877,215,188,4,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",250,6,0,85
768,878,215,195,4,Vidarbha Cricket Association Ground,250,6,0,85
769,879,215,206,3,Western Australia Cricket Association Ground,227,7,0,85
770,880,215,158,6,R Premadasa Stadium,214,4,0,85
771,881,215,152,4,Western Australia Cricket Association Ground,227,6,0,85
772,883,215,172,4,The Rose Bowl,250,6,0,85
773,884,215,147,6,The Rose Bowl,250,4,0,85
774,889,215,181,4,Adelaide Oval,230,6,0,85
775,890,215,169,5,Queens Sports Club,220,5,0,85
776,891,215,164,3,"Sir Vivian Richards Stadium, North Sound",225,7,0,85
777,892,215,142,6,Sydney Cricket Ground,220,4,0,85
778,893,215,136,7,Newlands,243,3,0,85
779,894,215,136,5,"Brisbane Cricket Ground, Woolloongabba",218,5,0,85
780,895,215,118,6,Sheikh Zayed Stadium,231,4,0,85
781,896,215,175,3,Harare Sports Club,214,7,0,85
782,896,215,176,3,Harare Sports Club,214,7,0,85
783,897,215,185,4,National Stadium,214,6,0,85
784,899,215,142,5,Adelaide Oval,230,5,0,85
785,900,215,169,6,Shere Bangla National Stadium,214,4,0,85
786,901,215,196,2,"Brisbane Cricket Ground, Woolloongabba",218,8,0,85
787,902,215,117,6,Dubai International Cricket Stadium,221,4,0,85
788,903,215,158,4,Shere Bangla National Stadium,214,6,0,85
789,904,215,158,4,Sedgars Park,250,6,0,85
790,905,215,221,3,Sharjah Cricket Stadium,250,7,0,85
791,906,215,174,2,Sheikh Zayed Stadium,231,8,0,85
792,907,215,112,8,National Stadium,214,2,0,85
793,908,215,184,5,Kinrara Academy Oval,204,5,0,85
794,910,215,156,4,"Rajiv Gandhi International Stadium, Uppal",273,6,0,85
795,911,215,177,6,Harare Sports Club,214,4,0,85
